busstop,route_no
belathuru kadugodi in front of nandini milk parlour,326E
belathuru kadugodi in front of nandini milk parlour,331E
belathuru kadugodi in front of s.m.p.solutions,399
belathuru kadugodi in front of s.m.p.solutions,328C
belathuru kadugodi in front of s.m.p.solutions,399A
belathuru kadugodi in front of s.m.p.solutions,399F
bella halli belahalli beside open area,280
bella halli belahalli beside puncture shop,280L
bella halli belahalli beside puncture shop,280E
bella halli belahalli beside puncture shop,290R
bella halli belahalli beside puncture shop,290RA
bella halli belahalli beside puncture shop,280F
bellahalli cross,BC-9D
bellahalli cross belahalli beside open area,280K
bellahalli cross belahalli beside open area,280L
bellahalli cross belahalli beside open area,280
bellahalli cross belahalli beside open area,280E
bellahalli cross belahalli beside open area,290R
bellahalli cross belahalli beside open area,290RA
bellahalli cross belahalli beside open area,280F
bellahalli cross bellahalli beside open area,290Z
bellahalli cross bellahalli beside open area,290T
bellahalli cross bellahalli beside open area,296K
bellahalli cross bellahalli beside open area,290E
bellandru  bellandur in front of bhagini restaurant,500G
bellandru  bellandur in front of bhagini restaurant,500D
bellandru  bellandur in front of bhagini restaurant,500DC
bellandru  bellandur in front of bhagini restaurant,355D
bellandru  bellandur in front of bhagini restaurant,411B
bellandru  bellandur in front of bhagini restaurant,330D
bellandru  bellandur in front of bhagini restaurant,500DA
bellandru  bellandur in front of govt middle school & shri maligamba temple,341
bellandur gate bellandur in front of om sai complex,506
bellandur gate bellandur in front of om sai complex,500AB
bellandur gate bellandur in front of om sai complex,500CA
bellandur gate bellandur in front of om sai complex,500C
bellandur gate bellandur in front of om sai complex,500F
bellandur gate bellandur in front of om sai complex,502M
bellandur gate bellandur in front of om sai complex,505E
bellandur gate bellandur in front of om sai complex,D-6
bellandur gate bellandur opposite of angan restuarant,500
bellandur gate bellandur opposite of angan restuarant,501
bellandur gate bellandur opposite of angan restuarant,500A
bellandur gate bellandur opposite of angan restuarant,500L
bellandur gate bellandur opposite of angan restuarant,500H
bellandur gate bellandur opposite of angan restuarant,502J
bellandur gate bellandur opposite of angan restuarant,502
bellandur gate bellandur opposite of angan restuarant,341
bellandur gate bellandur opposite of angan restuarant,MBS-24
bellanduru gate,340J
bellanduru gate sarjapura road,411G
bellanduru gate sarjapura road,340L
bellanduru gate sarjapura road,342F
bellanduru gate sarjapura road,342JB
bellanduru gate sarjapura road,MP-342F
bellanduru gate sarjapura road,340
bellanduru gate sarjapura road,342
bellanduru gate sarjapura road,340D
bellanduru gate sarjapura road,341B
bellanduru gate sarjapura road,341C
bellanduru gate sarjapura road,342A
bellanduru gate sarjapura road,342AA
bellanduru gate sarjapura road,342B
bellanduru gate sarjapura road,342C
bellanduru gate sarjapura road,342D
bellanduru gate sarjapura road,342E
bellanduru gate sarjapura road,342G
bellanduru gate sarjapura road,342J
bellanduru gate sarjapura road,342K
bellanduru gate sarjapura road,342L
bellanduru gate sarjapura road,342M
bellanduru gate sarjapura road,342MA
bellanduru gate sarjapura road,342N
bellanduru gate sarjapura road,342Q
bellanduru gate sarjapura road,342T
bellanduru gate sarjapura road,342U
bellanduru gate sarjapura road,342V
bellanduru gate sarjapura road,342VA
bellanduru gate sarjapura road,342W
bellanduru gate sarjapura road,342X
bellanduru gate sarjapura road,342Y
bellanduru gate sarjapura road,342Z
bellanduru gate sarjapura road,G-2
bellanduru gate sarjapura road,342WA
bellanduru gate sarjapura road,330D
bellanduru gate sarjapura road,342R
bellanduru gate sarjapura road,342H
bellikere varthuru government school (right side),329L
bellikere varthuru government school (right side),329H
bellikere varthuru government school (right side),329E
beml beml in front of beml limited,314D
beml beml in front of beml limited,314H
beml beml in front of beml limited,314T
beml beml in front of beml limited,314X
beml beml in front of beml limited,314F
beml beml in front of beml limited,314FA
beml beml in front of beml limited,314G
beml beml in front of beml limited,K-4
beml beml in front of beml limited,314N
beml beml in front of beml limited,314P
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,239C
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,225B
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,225J
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,225L
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,239A
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,248K
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,401R
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,401RC
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,401RE
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,225F
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,373M
beml complex b.e.m.l. layout 3rd stage opposite of ramanjaneya temple &amp; b.e.m.l. complex,BC-6
beml complex b.e.m.l. layout in front of b.e.m.l. complex park,225C
beml complex b.e.m.l. layout in front of b.e.m.l. complex park,248M
beml complex b.e.m.l. layout in front of b.e.m.l. complex park,225CF
beml complex b.e.m.l. layout in front of b.e.m.l. complex park,225CB
beml complex b.e.m.l. layout in front of b.e.m.l. complex park,374F
beml complex b.e.m.l. layout in front of b.e.m.l. complex park,401RA
beml complex b.e.m.l. layout in front of b.e.m.l. complex park,225AB
beml gate,400A
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,239C
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,225B
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,225C
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,225J
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,225L
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,239A
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,248K
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,248M
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,401RC
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,401RE
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,225CF
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,225CB
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,225F
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,401RA
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,BC-6
beml gate b.e.m.l. layout 3rd stage opposite of muthoot financial corp,401R
beml gate b.e.m.l. layout 3rd stage opposite of muthoot financial corp,374F
beml gate beml opposite of beml limited,MBS-6
beml gate beml opposite of beml limited,MF-7
beml gate hal 3rd stage opposite of beml fine arts club,314K
beml gate hal 3rd stage opposite of beml fine arts club,MF-9
beml gate hal 3rd stage opposite of beml fine arts club,314B
beml gate hal 3rd stage opposite of beml fine arts club,314BM
beml gate hal 3rd stage opposite of beml fine arts club,314E
beml gate hal 3rd stage opposite of beml fine arts club,314
beml gate hal 3rd stage opposite of beml fine arts club,314A
beml gate hal 3rd stage opposite of beml fine arts club,V-201R
beml gate kundalahalli opposite of hyper city,506
beml gate kundalahalli opposite of hyper city,500CA
beml gate kundalahalli opposite of hyper city,WFS-1
beml gate kundalahalli opposite of hyper city,335H
beml gate kundalahalli opposite of hyper city,306R
beml gate kundalahalli opposite of hyper city,333N
